Class of Travel,Quota,Source Station,Destination Station,Number of Passengers,Age of Passengers,Travel Distance,Number of Stations,Travel Time,Train Type,Seat Availability,Special Considerations,Holiday or Peak Season,Waitlist Position,Confirmation Status,journey_month,journey_dayofweek,days_before_journey
1AC,Premium Tatkal,LTT,BSB,5,Adult,523,11,38,Rajdhani,432,Defense Quota,No,171.0,0,6,1,244
Sleeper,Tatkal,CSMT,BBS,1,Child,468,19,5,Express,380,No_Special_Consideration,Yes,154.0,0,6,2,244
2AC,Premium Tatkal,HWH,UMB,4,Senior Citizen,781,13,28,Express,98,Defense Quota,No,0.0,1,6,3,244
Sleeper,Premium Tatkal,CSMT,NJP,4,Child,1937,18,28,Shatabdi,291,No_Special_Consideration,Yes,0.0,1,6,4,244
1AC,Tatkal,MAS,ADI,3,Child,844,14,42,Rajdhani,225,Defense Quota,Yes,0.0,1,6,5,244
Sleeper,Tatkal,KOAA,UMB,2,Adult,270,3,44,Superfast,240,No_Special_Consideration,Yes,0.0,1,6,6,244
Sleeper,Tatkal,MMCT,NDLS,3,Senior Citizen,265,18,6,Rajdhani,225,Defense Quota,No,0.0,1,6,0,244
1AC,General,ASR,SC,5,Child,697,12,43,Shatabdi,235,No_Special_Consideration,No,0.0,1,6,1,244
Sleeper,Ladies,KOAA,SBC,1,Adult,97,7,35,Superfast,442,No_Special_Consideration,Yes,93.0,0,6,2,244
3AC,Premium Tatkal,HWH,JHS,2,Adult,1515,2,23,Superfast,441,No_Special_Consideration,Yes,105.0,0,6,3,244
3AC,Premium Tatkal,ASR,NDLS,3,Senior Citizen,1493,9,3,Superfast,469,Senior Citizen,Yes,34.0,0,6,4,244
2AC,General,CNB,NJP,5,Adult,703,17,40,Shatabdi,200,Defense Quota,No,0.0,1,6,5,244
1AC,Tatkal,SBC,BCT,1,Adult,1226,18,44,Superfast,413,Defense Quota,Yes,0.0,1,6,6,244
1AC,General,UMB,MAS,3,Child,566,11,9,Rajdhani,402,Senior Citizen,Yes,0.0,1,7,0,244
Sleeper,Premium Tatkal,JU,LTT,4,Child,684,8,28,Express,383,Senior Citizen,No,0.0,1,7,1,244
1AC,Tatkal,LTT,BCT,1,Adult,1904,13,27,Shatabdi,210,No_Special_Consideration,No,0.0,1,7,2,244
1AC,General,CSMT,LKO,2,Senior Citizen,1777,9,36,Rajdhani,58,No_Special_Consideration,No,0.0,1,7,3,244
Sleeper,Premium Tatkal,KOAA,NJP,5,Adult,871,19,23,Superfast,256,Defense Quota,Yes,0.0,1,7,4,244
1AC,Premium Tatkal,CNB,CSMT,2,Senior Citizen,750,4,8,Rajdhani,394,Defense Quota,Yes,133.0,0,7,5,244
3AC,Premium Tatkal,ASR,BCT,4,Senior Citizen,1659,15,34,Rajdhani,148,No_Special_Consideration,Yes,174.0,0,7,6,244
Sleeper,Tatkal,NJP,LKO,2,Adult,583,11,36,Superfast,301,Senior Citizen,No,93.0,0,7,0,244
3AC,Ladies,LTT,LTT,3,Senior Citizen,1526,3,46,Superfast,325,No_Special_Consideration,Yes,0.0,1,7,1,244
3AC,Tatkal,SC,UMB,1,Child,541,12,30,Shatabdi,38,Senior Citizen,Yes,0.0,1,7,2,244
1AC,Premium Tatkal,SBC,NJP,2,Senior Citizen,846,12,34,Rajdhani,29,No_Special_Consideration,No,0.0,1,7,3,244
Sleeper,Premium Tatkal,SBC,ASR,4,Adult,262,13,7,Express,131,No_Special_Consideration,Yes,0.0,1,7,4,244
3AC,Tatkal,ADI,NJP,5,Child,384,13,2,Superfast,126,No_Special_Consideration,Yes,0.0,1,7,5,244
2AC,Premium Tatkal,JP,MAS,4,Adult,1341,8,30,Superfast,249,Senior Citizen,Yes,0.0,1,7,6,244
Sleeper,Premium Tatkal,ADI,JU,3,Senior Citizen,1547,15,19,Superfast,358,Senior Citizen,No,0.0,1,7,0,244
3AC,General,KOAA,NDLS,5,Child,1352,12,21,Express,368,Senior Citizen,Yes,0.0,1,7,1,244
Sleeper,Premium Tatkal,CSMT,MAS,4,Child,575,18,39,Rajdhani,99,No_Special_Consideration,No,0.0,1,7,2,244
2AC,General,BCT,PNBE,2,Senior Citizen,480,4,3,Superfast,241,No_Special_Consideration,Yes,53.0,0,7,3,244
Sleeper,Tatkal,CNB,SBC,2,Senior Citizen,1170,14,24,Shatabdi,116,No_Special_Consideration,No,0.0,1,7,4,244
Sleeper,Premium Tatkal,ADI,CNB,2,Senior Citizen,1121,2,43,Rajdhani,145,Defense Quota,Yes,136.0,0,7,5,244
Sleeper,Ladies,MAS,NJP,4,Senior Citizen,188,6,11,Shatabdi,129,Senior Citizen,No,130.0,0,7,6,244
Sleeper,General,NJP,GKP,1,Senior Citizen,1782,18,30,Express,102,Defense Quota,No,0.0,1,7,0,244
1AC,Tatkal,CSMT,ADI,3,Child,1491,7,32,Shatabdi,370,Senior Citizen,No,0.0,1,7,1,244
2AC,Tatkal,BBS,BSB,4,Adult,1083,9,41,Rajdhani,374,Senior Citizen,Yes,0.0,1,7,2,244
2AC,Ladies,KOAA,GKP,3,Senior Citizen,1439,14,46,Rajdhani,151,No_Special_Consideration,Yes,0.0,1,7,3,244
2AC,Premium Tatkal,LKO,JU,1,Adult,1635,12,2,Superfast,438,Defense Quota,Yes,0.0,1,7,4,244
Sleeper,Ladies,JHS,PNBE,4,Child,1319,14,8,Express,435,Defense Quota,No,198.0,0,7,5,244
Sleeper,General,NDLS,UMB,1,Child,1648,13,5,Express,67,No_Special_Consideration,Yes,0.0,1,7,6,244
3AC,Ladies,JU,GKP,4,Child,1461,9,39,Shatabdi,392,No_Special_Consideration,No,0.0,1,7,0,244
1AC,Tatkal,GKP,BBS,1,Adult,724,6,47,Superfast,424,Defense Quota,No,51.0,0,7,1,244
2AC,Ladies,BBS,UMB,1,Adult,1014,19,28,Express,470,Senior Citizen,No,0.0,1,7,2,244
3AC,Tatkal,CSMT,SC,5,Adult,381,5,8,Shatabdi,43,Senior Citizen,No,0.0,1,8,3,244
3AC,Premium Tatkal,SC,KOAA,2,Senior Citizen,1016,3,4,Superfast,204,Defense Quota,Yes,0.0,1,8,4,244
3AC,Tatkal,NJP,BBS,4,Child,609,12,20,Express,146,Senior Citizen,No,0.0,1,8,5,244
2AC,Tatkal,HWH,JU,2,Senior Citizen,1733,7,20,Shatabdi,158,Defense Quota,No,0.0,1,8,6,244
2AC,Premium Tatkal,ADI,CNB,2,Senior Citizen,607,12,33,Rajdhani,176,No_Special_Consideration,No,0.0,1,8,0,244
2AC,General,UMB,GKP,1,Senior Citizen,140,7,10,Shatabdi,80,Senior Citizen,No,0.0,1,8,1,244
1AC,Ladies,NDLS,NDLS,4,Senior Citizen,1688,2,19,Express,409,Senior Citizen,Yes,0.0,1,8,2,244
3AC,General,GKP,GKP,1,Child,1725,4,8,Rajdhani,438,Defense Quota,Yes,0.0,1,8,3,244
3AC,Tatkal,MMCT,HWH,1,Child,700,10,23,Shatabdi,492,Defense Quota,Yes,0.0,1,8,4,244
3AC,Ladies,KOAA,LKO,1,Child,403,3,41,Express,54,No_Special_Consideration,Yes,0.0,1,8,5,244
2AC,General,BBS,HWH,3,Senior Citizen,1572,8,47,Express,233,Senior Citizen,Yes,0.0,1,8,6,244
1AC,General,BBS,HWH,1,Child,1595,17,14,Shatabdi,466,No_Special_Consideration,Yes,0.0,1,8,0,244
3AC,Tatkal,UMB,JHS,2,Child,164,3,14,Shatabdi,88,Senior Citizen,No,79.0,0,8,1,244
2AC,General,GKP,HWH,3,Adult,605,18,2,Rajdhani,273,No_Special_Consideration,No,0.0,1,8,2,244
3AC,Ladies,BBS,KOAA,4,Child,705,16,30,Superfast,271,Senior Citizen,No,0.0,1,8,3,244
3AC,General,LKO,UMB,5,Adult,576,6,42,Express,196,Defense Quota,No,0.0,1,8,4,244
3AC,Ladies,GKP,SBC,3,Senior Citizen,928,3,17,Superfast,470,Defense Quota,Yes,176.0,0,8,5,244
Sleeper,General,ASR,CNB,1,Senior Citizen,937,19,9,Rajdhani,99,Senior Citizen,Yes,0.0,1,8,6,244
2AC,Ladies,BCT,PNBE,2,Adult,1062,4,10,Superfast,90,Defense Quota,Yes,1.0,0,8,0,244
Sleeper,Tatkal,JU,KOAA,1,Adult,1084,11,22,Shatabdi,295,Senior Citizen,No,159.0,0,8,1,244
1AC,Tatkal,ASR,BSB,3,Senior Citizen,1069,18,29,Express,342,Defense Quota,Yes,0.0,1,8,2,244
Sleeper,Tatkal,KOAA,CSMT,3,Senior Citizen,1646,14,15,Superfast,202,Senior Citizen,No,113.0,0,8,3,244
Sleeper,Ladies,KOAA,JP,5,Child,1820,6,8,Shatabdi,62,Senior Citizen,Yes,0.0,1,8,4,244
1AC,Tatkal,HWH,LTT,5,Senior Citizen,716,9,11,Superfast,356,Senior Citizen,No,173.0,0,8,5,244
1AC,General,ASR,UMB,2,Child,334,9,42,Rajdhani,329,Defense Quota,No,0.0,1,8,6,244
3AC,Premium Tatkal,GKP,NJP,5,Senior Citizen,342,11,19,Express,190,No_Special_Consideration,No,0.0,1,8,0,244
Sleeper,General,BCT,MMCT,4,Senior Citizen,266,13,14,Shatabdi,165,Senior Citizen,Yes,0.0,1,8,1,244
3AC,Ladies,UMB,CSMT,3,Senior Citizen,1930,9,3,Shatabdi,326,Defense Quota,Yes,0.0,1,8,2,244
2AC,Ladies,MAS,CNB,1,Adult,1686,12,34,Express,63,Defense Quota,Yes,0.0,1,8,3,244
1AC,Ladies,GKP,JP,4,Senior Citizen,1779,12,41,Shatabdi,390,Senior Citizen,Yes,179.0,0,8,4,244
2AC,General,PNBE,JU,5,Senior Citizen,610,5,29,Shatabdi,364,Defense Quota,Yes,182.0,0,8,5,244
2AC,Ladies,JU,HWH,1,Adult,1597,14,37,Rajdhani,294,No_Special_Consideration,No,95.0,0,9,6,244
3AC,Premium Tatkal,LTT,ASR,2,Adult,747,17,28,Express,217,No_Special_Consideration,No,58.0,0,9,0,244
Sleeper,Tatkal,ADI,MAS,1,Child,1544,14,24,Rajdhani,239,No_Special_Consideration,Yes,0.0,1,9,1,244
1AC,Ladies,ADI,LKO,1,Adult,1259,13,7,Express,236,Senior Citizen,Yes,122.0,0,9,2,244
2AC,Premium Tatkal,CNB,MMCT,3,Child,1401,5,26,Superfast,411,Senior Citizen,Yes,0.0,1,9,3,244
1AC,Ladies,NDLS,MMCT,3,Adult,1954,16,19,Rajdhani,283,Defense Quota,No,0.0,1,9,4,244
1AC,Premium Tatkal,HWH,CNB,2,Senior Citizen,1189,3,24,Superfast,495,Defense Quota,Yes,0.0,1,9,5,244
2AC,Ladies,JP,JP,1,Senior Citizen,293,11,45,Rajdhani,280,Defense Quota,Yes,154.0,0,9,6,244
3AC,Tatkal,JU,NDLS,5,Senior Citizen,1749,2,4,Express,134,No_Special_Consideration,Yes,0.0,1,9,0,244
1AC,Ladies,MMCT,ASR,3,Senior Citizen,1953,12,42,Superfast,272,Defense Quota,No,0.0,1,9,1,244
Sleeper,Tatkal,ADI,BSB,2,Adult,895,18,37,Rajdhani,398,Defense Quota,Yes,0.0,1,9,2,244
3AC,Ladies,UMB,UMB,3,Senior Citizen,1638,13,40,Express,491,Defense Quota,No,163.0,0,9,3,244
2AC,Premium Tatkal,UMB,HWH,4,Child,56,8,16,Express,58,No_Special_Consideration,Yes,38.0,0,9,4,244
1AC,Tatkal,BCT,SBC,2,Senior Citizen,1247,7,10,Superfast,486,No_Special_Consideration,Yes,29.0,0,9,5,244
2AC,General,JHS,SC,4,Adult,1566,12,10,Rajdhani,362,Senior Citizen,No,0.0,1,9,6,244
1AC,Tatkal,ASR,SC,3,Adult,517,6,3,Rajdhani,161,No_Special_Consideration,Yes,0.0,1,9,0,244
Sleeper,General,BBS,LKO,5,Adult,1629,17,12,Shatabdi,237,Senior Citizen,No,0.0,1,9,1,244
3AC,General,BCT,SBC,1,Senior Citizen,1389,5,36,Rajdhani,129,Defense Quota,Yes,0.0,1,9,2,244
1AC,Tatkal,CSMT,LKO,3,Senior Citizen,1902,6,14,Superfast,325,Senior Citizen,Yes,121.0,0,9,3,244
2AC,Ladies,HWH,SBC,2,Adult,1996,4,42,Express,486,Senior Citizen,No,155.0,0,9,4,244
1AC,Premium Tatkal,NDLS,CNB,3,Adult,715,4,9,Express,419,Defense Quota,Yes,0.0,1,9,5,244
1AC,Ladies,CNB,JHS,2,Adult,1365,17,18,Superfast,195,Senior Citizen,No,0.0,1,9,6,244
3AC,General,JU,NDLS,5,Senior Citizen,558,4,40,Express,63,Defense Quota,No,0.0,1,9,0,244
2AC,Premium Tatkal,JHS,JHS,4,Senior Citizen,142,2,44,Express,42,No_Special_Consideration,No,0.0,1,9,1,244
1AC,Tatkal,CNB,ASR,1,Senior Citizen,1496,10,26,Rajdhani,473,No_Special_Consideration,Yes,0.0,1,9,2,244
1AC,Ladies,LKO,NJP,2,Senior Citizen,1160,7,6,Rajdhani,159,Senior Citizen,No,34.0,0,9,3,244
1AC,General,NDLS,CNB,3,Child,1575,4,25,Express,358,Defense Quota,No,5.0,0,9,4,244
Sleeper,Premium Tatkal,BSB,NDLS,1,Adult,529,5,33,Rajdhani,223,Senior Citizen,Yes,0.0,1,9,5,244
1AC,Ladies,BCT,BBS,4,Child,717,3,6,Shatabdi,494,Senior Citizen,Yes,157.0,0,9,6,244
Sleeper,Tatkal,UMB,JU,4,Adult,291,18,29,Rajdhani,121,Defense Quota,No,101.0,0,9,0,244
3AC,Premium Tatkal,SBC,BCT,2,Senior Citizen,1752,19,5,Shatabdi,331,Senior Citizen,No,0.0,1,10,1,244
2AC,General,JHS,ASR,4,Senior Citizen,1263,11,28,Superfast,231,Defense Quota,Yes,0.0,1,10,2,244
1AC,Premium Tatkal,JP,JU,2,Adult,1840,14,5,Shatabdi,31,No_Special_Consideration,No,0.0,1,10,3,244
Sleeper,General,JU,SC,2,Adult,86,4,25,Shatabdi,190,Defense Quota,No,0.0,1,10,4,244
3AC,Premium Tatkal,MAS,BCT,2,Child,1980,5,43,Shatabdi,198,Senior Citizen,Yes,33.0,0,10,5,244
3AC,Ladies,LTT,CSMT,4,Adult,215,9,10,Superfast,498,Defense Quota,Yes,0.0,1,10,6,244
3AC,Premium Tatkal,PNBE,CSMT,4,Child,1159,10,39,Rajdhani,53,Defense Quota,No,73.0,0,10,0,244
3AC,Premium Tatkal,ADI,LKO,1,Child,1984,5,8,Shatabdi,178,No_Special_Consideration,No,0.0,1,10,1,244
2AC,General,NDLS,BBS,2,Adult,1509,7,42,Superfast,5,Defense Quota,No,0.0,1,10,2,244
3AC,Tatkal,ADI,NJP,4,Child,1989,6,11,Superfast,470,Defense Quota,Yes,0.0,1,10,3,244
Sleeper,Ladies,PNBE,LTT,4,Senior Citizen,327,10,20,Express,218,Senior Citizen,No,180.0,0,10,4,244
3AC,Tatkal,CNB,LKO,1,Child,927,11,36,Express,421,No_Special_Consideration,No,0.0,1,10,5,244
Sleeper,Premium Tatkal,BBS,BCT,2,Adult,1369,10,2,Shatabdi,47,Defense Quota,No,0.0,1,10,6,244
2AC,General,PNBE,JP,3,Child,1511,5,3,Express,28,Defense Quota,Yes,167.0,0,10,0,244
3AC,Tatkal,ASR,BSB,3,Senior Citizen,324,14,33,Shatabdi,255,No_Special_Consideration,No,0.0,1,10,1,244
Sleeper,Ladies,UMB,BSB,1,Senior Citizen,494,6,4,Rajdhani,42,Defense Quota,Yes,187.0,0,10,2,244
3AC,Tatkal,CNB,ASR,5,Adult,1264,13,22,Superfast,281,No_Special_Consideration,No,0.0,1,10,3,244
1AC,Premium Tatkal,LKO,JU,4,Child,1164,19,4,Superfast,271,No_Special_Consideration,No,0.0,1,10,4,244
Sleeper,Ladies,LKO,CNB,1,Child,786,5,35,Express,136,No_Special_Consideration,No,0.0,1,10,5,244
1AC,Premium Tatkal,CSMT,MMCT,3,Child,1644,15,35,Express,39,Defense Quota,No,174.0,0,10,6,244
3AC,Premium Tatkal,JHS,PNBE,3,Adult,529,19,29,Rajdhani,127,Senior Citizen,No,0.0,1,10,0,244
3AC,Tatkal,NDLS,SBC,5,Child,1435,15,3,Shatabdi,304,Senior Citizen,Yes,131.0,0,10,1,244
3AC,General,HWH,CNB,3,Adult,709,16,27,Rajdhani,411,Senior Citizen,No,0.0,1,10,2,244
1AC,Ladies,MMCT,GKP,3,Child,1731,11,31,Shatabdi,203,No_Special_Consideration,Yes,0.0,1,10,3,244
2AC,Ladies,CSMT,GKP,1,Child,161,19,15,Express,279,Senior Citizen,Yes,0.0,1,10,4,244
Sleeper,Premium Tatkal,ASR,KOAA,3,Adult,824,18,12,Express,320,No_Special_Consideration,No,0.0,1,10,5,244
3AC,Tatkal,ADI,MMCT,4,Adult,1170,8,41,Shatabdi,428,No_Special_Consideration,No,154.0,0,10,6,244
2AC,General,BBS,MAS,3,Adult,148,18,10,Express,290,No_Special_Consideration,No,0.0,1,10,0,244
1AC,General,JP,NJP,1,Child,1768,19,39,Express,281,Senior Citizen,Yes,0.0,1,10,1,244
Sleeper,Tatkal,NJP,ASR,4,Child,1254,3,12,Superfast,43,No_Special_Consideration,Yes,190.0,0,10,2,244
3AC,Premium Tatkal,CSMT,HWH,5,Adult,219,5,8,Rajdhani,304,Defense Quota,Yes,0.0,1,10,3,244
2AC,General,JU,HWH,3,Senior Citizen,533,18,6,Express,315,No_Special_Consideration,Yes,0.0,1,11,4,244
Sleeper,General,PNBE,GKP,1,Adult,345,7,7,Shatabdi,123,Senior Citizen,No,0.0,1,11,5,244
3AC,Tatkal,ADI,LTT,5,Senior Citizen,1061,14,35,Express,419,No_Special_Consideration,Yes,0.0,1,11,6,244
Sleeper,Ladies,GKP,BSB,4,Senior Citizen,1925,10,7,Shatabdi,384,No_Special_Consideration,Yes,153.0,0,11,0,244
3AC,Tatkal,CSMT,KOAA,5,Senior Citizen,1481,8,35,Superfast,340,Defense Quota,Yes,0.0,1,11,1,244
Sleeper,Tatkal,PNBE,LTT,1,Child,1181,7,2,Rajdhani,473,Defense Quota,No,13.0,0,11,2,244
1AC,Premium Tatkal,UMB,SC,2,Senior Citizen,1704,2,13,Rajdhani,52,No_Special_Consideration,No,66.0,0,11,3,244
3AC,General,CNB,UMB,2,Child,699,4,41,Rajdhani,289,Senior Citizen,Yes,122.0,0,11,4,244
1AC,Premium Tatkal,SC,SC,5,Senior Citizen,1336,12,47,Shatabdi,383,Senior Citizen,Yes,0.0,1,11,5,244
1AC,Ladies,ADI,JHS,4,Adult,1319,6,46,Rajdhani,0,No_Special_Consideration,No,0.0,1,11,6,244
1AC,Tatkal,UMB,GKP,5,Adult,1528,2,31,Shatabdi,73,No_Special_Consideration,No,194.0,0,11,0,244
2AC,General,ASR,BCT,5,Senior Citizen,129,6,28,Shatabdi,416,Senior Citizen,Yes,0.0,1,11,1,244
2AC,Ladies,JHS,LKO,1,Senior Citizen,769,3,38,Superfast,298,Senior Citizen,No,0.0,1,11,2,244
3AC,Premium Tatkal,MAS,BSB,1,Senior Citizen,1700,8,16,Rajdhani,125,Defense Quota,No,89.0,0,11,3,244
Sleeper,General,KOAA,HWH,3,Adult,1376,11,29,Shatabdi,89,No_Special_Consideration,Yes,0.0,1,11,4,244
3AC,Ladies,LKO,SBC,1,Adult,1617,13,28,Rajdhani,259,Defense Quota,Yes,0.0,1,11,5,244
2AC,General,SC,CSMT,5,Child,231,14,32,Express,161,No_Special_Consideration,Yes,0.0,1,11,6,244
1AC,Premium Tatkal,LKO,MAS,5,Child,629,16,42,Shatabdi,53,Senior Citizen,No,0.0,1,11,0,244
3AC,Ladies,NDLS,PNBE,4,Adult,1337,17,44,Rajdhani,48,Senior Citizen,Yes,0.0,1,11,1,244
2AC,General,CNB,JHS,2,Senior Citizen,1139,14,17,Express,140,Defense Quota,No,154.0,0,11,2,244
1AC,Tatkal,JU,SBC,2,Senior Citizen,1693,6,25,Rajdhani,460,Defense Quota,Yes,0.0,1,11,3,244
3AC,Ladies,PNBE,JU,5,Child,1358,10,38,Superfast,130,Senior Citizen,Yes,138.0,0,11,4,244
Sleeper,General,SBC,LKO,5,Senior Citizen,203,3,13,Superfast,26,Senior Citizen,Yes,13.0,0,11,5,244
3AC,Tatkal,NDLS,SC,2,Adult,430,14,34,Superfast,5,Senior Citizen,Yes,0.0,1,11,6,244
2AC,General,KOAA,BSB,4,Senior Citizen,1807,6,21,Shatabdi,234,No_Special_Consideration,No,0.0,1,11,0,244
2AC,Tatkal,NJP,MAS,2,Adult,1672,9,13,Rajdhani,484,Senior Citizen,No,0.0,1,11,1,244
3AC,General,ADI,CNB,3,Adult,345,4,8,Express,476,No_Special_Consideration,Yes,0.0,1,11,2,244
1AC,Ladies,JU,JU,4,Senior Citizen,606,13,15,Express,482,Senior Citizen,No,0.0,1,11,3,244
3AC,Tatkal,NDLS,MAS,4,Child,1905,3,47,Shatabdi,211,Defense Quota,No,12.0,0,11,4,244
3AC,Premium Tatkal,CNB,HWH,3,Child,1664,5,9,Express,471,Senior Citizen,No,0.0,1,11,5,244
2AC,Ladies,LKO,PNBE,3,Senior Citizen,826,11,30,Rajdhani,381,Defense Quota,Yes,86.0,0,12,6,244
1AC,Premium Tatkal,KOAA,HWH,3,Child,1483,14,19,Superfast,242,Defense Quota,No,0.0,1,12,0,244
2AC,Premium Tatkal,LKO,BSB,4,Child,1791,14,44,Rajdhani,115,Defense Quota,No,92.0,0,12,1,244
2AC,Premium Tatkal,CSMT,BSB,1,Senior Citizen,539,17,43,Rajdhani,95,No_Special_Consideration,No,115.0,0,12,2,244
2AC,General,LKO,KOAA,3,Child,1591,17,18,Shatabdi,38,No_Special_Consideration,Yes,0.0,1,12,3,244
Sleeper,Ladies,UMB,JHS,4,Senior Citizen,477,11,40,Rajdhani,242,Defense Quota,Yes,95.0,0,12,4,244
Sleeper,Ladies,MAS,LKO,2,Senior Citizen,969,4,46,Superfast,261,Defense Quota,Yes,0.0,1,12,5,244
3AC,Tatkal,JP,CNB,4,Child,1022,19,41,Express,232,Senior Citizen,No,0.0,1,12,6,244
3AC,General,ADI,CNB,4,Adult,1350,16,19,Express,476,No_Special_Consideration,No,0.0,1,12,0,244
1AC,Premium Tatkal,KOAA,LKO,4,Senior Citizen,456,15,35,Express,417,No_Special_Consideration,Yes,0.0,1,12,1,244
1AC,Premium Tatkal,JU,JP,3,Child,1755,16,28,Express,372,Defense Quota,No,0.0,1,12,2,244
2AC,Tatkal,SBC,ASR,1,Senior Citizen,328,17,37,Shatabdi,339,No_Special_Consideration,No,0.0,1,12,3,244
2AC,Premium Tatkal,JP,KOAA,4,Child,1426,2,16,Shatabdi,422,Senior Citizen,No,0.0,1,12,4,244
1AC,Tatkal,JU,LTT,2,Senior Citizen,215,2,8,Superfast,280,Defense Quota,No,0.0,1,12,5,244
3AC,Ladies,PNBE,ADI,5,Adult,620,18,3,Shatabdi,204,No_Special_Consideration,Yes,137.0,0,12,6,244
3AC,Ladies,JP,JP,4,Child,124,17,11,Express,195,Senior Citizen,Yes,0.0,1,12,0,244
1AC,General,GKP,JP,2,Adult,872,3,5,Rajdhani,151,No_Special_Consideration,No,150.0,0,12,1,244
1AC,Premium Tatkal,HWH,LKO,5,Adult,933,5,20,Superfast,487,Senior Citizen,Yes,0.0,1,12,2,244
1AC,Tatkal,MMCT,JHS,2,Senior Citizen,1092,6,2,Express,0,Senior Citizen,Yes,0.0,1,12,3,244
3AC,Tatkal,BSB,CSMT,5,Adult,1684,4,13,Shatabdi,75,No_Special_Consideration,Yes,93.0,0,12,4,244
Sleeper,General,JP,LKO,3,Adult,1903,19,29,Express,420,Defense Quota,No,0.0,1,12,5,244
Sleeper,Ladies,BBS,NJP,1,Senior Citizen,1534,2,18,Express,214,No_Special_Consideration,No,26.0,0,12,6,244
3AC,Tatkal,GKP,BSB,4,Senior Citizen,194,9,29,Rajdhani,215,No_Special_Consideration,Yes,0.0,1,12,0,244
1AC,General,CSMT,LTT,5,Senior Citizen,756,10,7,Shatabdi,478,Senior Citizen,Yes,0.0,1,12,1,244
1AC,Ladies,UMB,BBS,3,Senior Citizen,1489,7,30,Rajdhani,472,No_Special_Consideration,No,0.0,1,12,2,244
3AC,Tatkal,MAS,MMCT,3,Child,1109,11,2,Superfast,76,Defense Quota,Yes,0.0,1,12,3,244
1AC,Premium Tatkal,BCT,MAS,3,Senior Citizen,751,11,28,Rajdhani,428,Defense Quota,No,157.0,0,12,4,244
Sleeper,Tatkal,CNB,JP,5,Senior Citizen,460,18,4,Rajdhani,154,Defense Quota,Yes,0.0,1,12,5,244
Sleeper,Ladies,LTT,SBC,2,Adult,1422,6,9,Rajdhani,72,Senior Citizen,No,0.0,1,12,6,244
Sleeper,General,SBC,CNB,2,Adult,1703,16,37,Shatabdi,255,Defense Quota,No,0.0,1,12,0,244
Sleeper,Ladies,JU,JHS,3,Senior Citizen,978,9,38,Superfast,161,Defense Quota,Yes,0.0,1,12,1,244
3AC,Premium Tatkal,BCT,SC,1,Child,333,3,13,Rajdhani,183,Senior Citizen,Yes,129.0,0,1,2,244
Sleeper,Ladies,JHS,ASR,1,Adult,1313,6,5,Superfast,115,No_Special_Consideration,No,19.0,0,1,3,244
1AC,Premium Tatkal,BBS,ADI,2,Senior Citizen,1184,9,31,Rajdhani,396,Defense Quota,Yes,107.0,0,1,4,244
Sleeper,General,ADI,SC,1,Adult,1603,9,25,Express,404,Defense Quota,Yes,0.0,1,1,5,244
Sleeper,Tatkal,UMB,BCT,3,Adult,779,10,37,Rajdhani,138,No_Special_Consideration,Yes,0.0,1,1,6,244
2AC,Ladies,GKP,ASR,4,Adult,894,13,17,Express,185,Senior Citizen,No,0.0,1,1,0,244
2AC,General,ASR,LKO,3,Senior Citizen,277,3,22,Express,498,No_Special_Consideration,Yes,0.0,1,1,1,244
2AC,General,JP,BBS,1,Senior Citizen,856,2,40,Rajdhani,234,Defense Quota,No,0.0,1,1,2,244
3AC,Tatkal,SBC,LKO,3,Child,1337,11,28,Express,326,Defense Quota,Yes,0.0,1,1,3,244
Sleeper,Ladies,MMCT,ADI,1,Senior Citizen,662,13,12,Shatabdi,305,Senior Citizen,Yes,0.0,1,1,4,244
1AC,Ladies,GKP,BCT,2,Senior Citizen,1175,6,40,Superfast,494,Senior Citizen,No,0.0,1,1,5,244
Sleeper,General,SC,GKP,5,Adult,1577,14,21,Shatabdi,275,Defense Quota,Yes,0.0,1,1,6,244
Sleeper,General,GKP,CNB,4,Adult,1321,10,28,Rajdhani,136,Defense Quota,No,0.0,1,1,0,244
2AC,Tatkal,CNB,KOAA,5,Senior Citizen,1109,14,34,Rajdhani,390,Senior Citizen,No,0.0,1,1,1,244
Sleeper,Tatkal,BCT,MMCT,5,Adult,1016,7,30,Rajdhani,451,No_Special_Consideration,Yes,0.0,1,1,2,244
Sleeper,Tatkal,JP,JU,4,Adult,346,16,47,Rajdhani,322,Defense Quota,Yes,29.0,0,1,3,244
2AC,Tatkal,SC,JU,4,Adult,540,11,33,Rajdhani,31,Senior Citizen,No,0.0,1,1,4,244
1AC,Tatkal,ADI,SC,1,Senior Citizen,1346,2,3,Shatabdi,482,Defense Quota,No,186.0,0,1,5,244
3AC,General,BBS,SC,5,Senior Citizen,1234,17,28,Superfast,432,Senior Citizen,Yes,0.0,1,1,6,244
Sleeper,Ladies,UMB,MAS,2,Senior Citizen,574,6,3,Superfast,302,Senior Citizen,Yes,0.0,1,1,0,244
3AC,Premium Tatkal,KOAA,GKP,1,Senior Citizen,869,4,16,Superfast,493,Defense Quota,Yes,0.0,1,1,1,244
3AC,Premium Tatkal,JP,CSMT,3,Adult,1438,12,20,Superfast,305,Defense Quota,No,0.0,1,1,2,244
3AC,General,BSB,MMCT,1,Child,1449,6,47,Shatabdi,423,No_Special_Consideration,No,0.0,1,1,3,244
