Class of Travel,Quota,Source Station,Destination Station,Number of Passengers,Age of Passengers,Travel Distance,Number of Stations,Travel Time,Train Type,Seat Availability,Special Considerations,Holiday or Peak Season,Waitlist Position,Confirmation Status,journey_month,journey_dayofweek,days_before_journey,is_peak_or_holiday,seat_pressure,route_length_per_stop,booking_urgency_bucket
Sleeper,Ladies,MMCT,ADI,1,Child,132,12,11,Rajdhani,107,Senior Citizen,No,0.0,1,9,2,244,0,0.009259259259259259,10.153846153846153,early
1AC,Ladies,JHS,KOAA,5,Senior Citizen,1897,7,15,Superfast,210,Defense Quota,Yes,0.0,1,9,3,244,1,0.023696682464454975,237.125,early
3AC,General,PNBE,LTT,2,Child,148,9,13,Rajdhani,210,Defense Quota,Yes,0.0,1,9,4,244,1,0.009478672985781991,14.8,early
1AC,General,JHS,ASR,3,Child,940,5,47,Superfast,490,No_Special_Consideration,No,154.0,0,9,5,244,0,0.006109979633401222,156.66666666666666,early
1AC,Ladies,MAS,ASR,2,Adult,585,2,19,Rajdhani,451,Defense Quota,Yes,0.0,1,9,6,244,1,0.004424778761061947,195.0,early
2AC,Ladies,JU,ASR,3,Senior Citizen,1037,9,45,Shatabdi,78,No_Special_Consideration,Yes,0.0,1,9,0,244,1,0.0379746835443038,103.7,early
Sleeper,Tatkal,NJP,BSB,2,Adult,1229,12,36,Superfast,346,Senior Citizen,No,0.0,1,9,1,244,0,0.005763688760806916,94.53846153846153,early
1AC,Premium Tatkal,HWH,BSB,5,Adult,637,2,21,Superfast,235,Defense Quota,No,155.0,0,9,2,244,0,0.0211864406779661,212.33333333333334,early
2AC,Tatkal,JHS,KOAA,4,Adult,146,7,23,Shatabdi,35,Defense Quota,Yes,0.0,1,9,3,244,1,0.1111111111111111,18.25,early
3AC,Ladies,LTT,KOAA,5,Senior Citizen,1421,17,29,Shatabdi,410,Defense Quota,Yes,128.0,0,9,4,244,1,0.012165450121654502,78.94444444444444,early
1AC,Tatkal,KOAA,BCT,2,Adult,583,6,33,Shatabdi,488,Senior Citizen,No,0.0,1,9,5,244,0,0.00408997955010225,83.28571428571429,early
3AC,Premium Tatkal,JHS,CNB,1,Adult,380,13,43,Shatabdi,370,Senior Citizen,Yes,0.0,1,9,6,244,1,0.0026954177897574125,27.142857142857142,early
Sleeper,General,LTT,LKO,3,Senior Citizen,800,11,15,Express,295,No_Special_Consideration,No,149.0,0,9,0,244,0,0.010135135135135136,66.66666666666667,early
1AC,General,SBC,SBC,5,Senior Citizen,65,4,16,Rajdhani,128,No_Special_Consideration,Yes,0.0,1,9,1,244,1,0.03875968992248062,13.0,early
3AC,Tatkal,UMB,BBS,2,Adult,724,6,39,Superfast,361,Senior Citizen,Yes,0.0,1,9,2,244,1,0.0055248618784530384,103.42857142857143,early
2AC,General,BCT,CSMT,3,Child,406,18,5,Superfast,360,No_Special_Consideration,No,53.0,0,9,3,244,0,0.008310249307479225,21.36842105263158,early
2AC,General,CNB,GKP,2,Senior Citizen,1537,18,29,Rajdhani,198,Defense Quota,Yes,0.0,1,9,4,244,1,0.010050251256281407,80.89473684210526,early
2AC,Premium Tatkal,SC,BSB,3,Child,1859,9,6,Express,221,Defense Quota,No,0.0,1,9,5,244,0,0.013513513513513514,185.9,early
3AC,General,ADI,KOAA,2,Senior Citizen,1166,12,7,Rajdhani,216,No_Special_Consideration,No,144.0,0,9,6,244,0,0.009216589861751152,89.6923076923077,early
3AC,Tatkal,CNB,LTT,2,Child,448,3,13,Superfast,200,Defense Quota,Yes,0.0,1,9,0,244,1,0.009950248756218905,112.0,early
3AC,Premium Tatkal,GKP,CSMT,3,Child,972,9,36,Rajdhani,172,No_Special_Consideration,Yes,84.0,0,9,1,244,1,0.017341040462427744,97.2,early
3AC,Premium Tatkal,NDLS,BBS,2,Senior Citizen,1238,6,32,Express,380,Defense Quota,No,0.0,1,9,2,244,0,0.005249343832020997,176.85714285714286,early
3AC,Premium Tatkal,CSMT,HWH,5,Adult,423,14,21,Rajdhani,330,No_Special_Consideration,No,137.0,0,9,3,244,0,0.015105740181268883,28.2,early
3AC,General,MMCT,PNBE,5,Child,223,15,37,Superfast,449,No_Special_Consideration,Yes,0.0,1,9,4,244,1,0.011111111111111112,13.9375,early
3AC,Premium Tatkal,MAS,KOAA,5,Senior Citizen,1720,2,16,Superfast,161,No_Special_Consideration,Yes,0.0,1,9,5,244,1,0.030864197530864196,573.3333333333334,early
Sleeper,General,NJP,JHS,1,Adult,1797,8,6,Shatabdi,420,Senior Citizen,Yes,0.0,1,9,6,244,1,0.0023752969121140144,199.66666666666666,early
Sleeper,Ladies,GKP,MMCT,3,Child,286,18,19,Rajdhani,81,No_Special_Consideration,Yes,0.0,1,9,0,244,1,0.036585365853658534,15.052631578947368,early
Sleeper,Tatkal,GKP,MMCT,4,Adult,500,6,33,Superfast,378,Defense Quota,No,27.0,0,9,1,244,0,0.010554089709762533,71.42857142857143,early
2AC,General,BBS,LKO,3,Child,846,10,17,Shatabdi,244,No_Special_Consideration,No,0.0,1,10,2,244,0,0.012244897959183673,76.9090909090909,early
1AC,Ladies,NJP,ADI,2,Child,1895,9,25,Express,375,Defense Quota,No,0.0,1,10,3,244,0,0.005319148936170213,189.5,early
Sleeper,Tatkal,GKP,PNBE,1,Senior Citizen,641,15,21,Rajdhani,246,Defense Quota,Yes,0.0,1,10,4,244,1,0.004048582995951417,40.0625,early
2AC,General,ADI,KOAA,2,Adult,770,3,43,Rajdhani,203,Defense Quota,No,0.0,1,10,5,244,0,0.00980392156862745,192.5,early
2AC,Tatkal,NJP,JHS,1,Adult,1190,19,28,Rajdhani,2,Senior Citizen,Yes,0.0,1,10,6,244,1,0.3333333333333333,59.5,early
1AC,Premium Tatkal,ASR,BSB,3,Senior Citizen,471,5,32,Superfast,42,No_Special_Consideration,Yes,0.0,1,10,0,244,1,0.06976744186046512,78.5,early
1AC,Tatkal,CNB,JP,3,Adult,1084,2,35,Rajdhani,292,No_Special_Consideration,No,0.0,1,10,1,244,0,0.010238907849829351,361.3333333333333,early
Sleeper,General,NDLS,MAS,3,Child,1361,5,33,Shatabdi,245,No_Special_Consideration,Yes,49.0,0,10,2,244,1,0.012195121951219513,226.83333333333334,early
3AC,General,PNBE,LKO,2,Adult,931,8,46,Shatabdi,383,No_Special_Consideration,No,0.0,1,10,3,244,0,0.005208333333333333,103.44444444444444,early
3AC,Premium Tatkal,ASR,CSMT,4,Adult,506,15,30,Shatabdi,296,Defense Quota,No,0.0,1,10,4,244,0,0.013468013468013467,31.625,early
Sleeper,General,SBC,SBC,2,Senior Citizen,225,5,29,Shatabdi,106,No_Special_Consideration,No,0.0,1,10,5,244,0,0.018691588785046728,37.5,early
3AC,Ladies,JP,MMCT,5,Adult,383,18,3,Express,376,No_Special_Consideration,No,0.0,1,10,6,244,0,0.013262599469496022,20.157894736842106,early
1AC,Ladies,CSMT,HWH,1,Senior Citizen,1119,11,27,Shatabdi,163,No_Special_Consideration,No,0.0,1,10,0,244,0,0.006097560975609756,93.25,early
1AC,Ladies,SC,BSB,3,Adult,1924,17,13,Rajdhani,277,Defense Quota,Yes,170.0,0,10,1,244,1,0.01079136690647482,106.88888888888889,early
1AC,Tatkal,ASR,CSMT,1,Child,1719,6,24,Rajdhani,367,Defense Quota,Yes,146.0,0,10,2,244,1,0.002717391304347826,245.57142857142858,early
Sleeper,General,JU,ASR,2,Senior Citizen,222,8,26,Express,88,Senior Citizen,Yes,91.0,0,10,3,244,1,0.02247191011235955,24.666666666666668,early
2AC,Tatkal,JHS,BCT,3,Adult,1124,12,33,Superfast,204,Senior Citizen,No,0.0,1,10,4,244,0,0.014634146341463415,86.46153846153847,early
1AC,Premium Tatkal,ADI,GKP,4,Adult,1390,9,14,Shatabdi,280,Senior Citizen,No,0.0,1,10,5,244,0,0.014234875444839857,139.0,early
1AC,General,JHS,JU,4,Child,1856,15,9,Shatabdi,246,Senior Citizen,No,0.0,1,10,6,244,0,0.016194331983805668,116.0,early
3AC,General,MMCT,BCT,5,Child,975,10,31,Express,107,No_Special_Consideration,No,0.0,1,10,0,244,0,0.046296296296296294,88.63636363636364,early
2AC,General,BBS,ASR,2,Child,842,10,31,Express,491,Defense Quota,No,155.0,0,10,1,244,0,0.0040650406504065045,76.54545454545455,early
1AC,Ladies,ADI,BCT,3,Senior Citizen,1981,10,9,Rajdhani,385,No_Special_Consideration,Yes,0.0,1,10,2,244,1,0.007772020725388601,180.0909090909091,early
2AC,Ladies,ADI,SBC,4,Child,1283,9,35,Express,264,Defense Quota,Yes,0.0,1,10,3,244,1,0.01509433962264151,128.3,early
Sleeper,Ladies,CNB,HWH,3,Child,1639,18,18,Express,160,Senior Citizen,Yes,0.0,1,10,4,244,1,0.018633540372670808,86.26315789473684,early
2AC,Premium Tatkal,ADI,MAS,3,Child,1690,6,41,Superfast,435,Senior Citizen,Yes,0.0,1,10,5,244,1,0.006880733944954129,241.42857142857142,early
1AC,Premium Tatkal,LKO,BSB,1,Senior Citizen,1874,6,18,Rajdhani,494,Defense Quota,No,0.0,1,10,6,244,0,0.00202020202020202,267.7142857142857,early
2AC,General,LKO,UMB,1,Adult,1722,13,2,Superfast,437,No_Special_Consideration,Yes,0.0,1,10,0,244,1,0.00228310502283105,123.0,early
2AC,Ladies,HWH,JU,4,Child,1745,4,30,Shatabdi,134,Defense Quota,Yes,171.0,0,10,1,244,1,0.02962962962962963,349.0,early
1AC,Ladies,JU,KOAA,2,Senior Citizen,472,2,31,Superfast,490,Senior Citizen,Yes,0.0,1,10,2,244,1,0.004073319755600814,157.33333333333334,early
3AC,Tatkal,SBC,GKP,2,Child,184,2,37,Shatabdi,462,Senior Citizen,Yes,0.0,1,10,3,244,1,0.004319654427645789,61.333333333333336,early
1AC,Tatkal,NDLS,PNBE,4,Adult,1800,14,28,Shatabdi,264,No_Special_Consideration,No,0.0,1,10,4,244,0,0.01509433962264151,120.0,early
2AC,Premium Tatkal,CNB,ADI,5,Child,1086,5,25,Rajdhani,55,No_Special_Consideration,Yes,0.0,1,11,5,244,1,0.08928571428571429,181.0,early
2AC,Premium Tatkal,PNBE,LTT,3,Child,1250,15,37,Rajdhani,207,Defense Quota,Yes,45.0,0,11,6,244,1,0.014423076923076924,78.125,early
2AC,Ladies,JHS,KOAA,3,Adult,606,4,38,Express,119,No_Special_Consideration,Yes,0.0,1,11,0,244,1,0.025,121.2,early
1AC,Tatkal,CNB,SBC,3,Adult,1444,3,46,Rajdhani,227,No_Special_Consideration,Yes,0.0,1,11,1,244,1,0.013157894736842105,361.0,early
3AC,Premium Tatkal,BCT,ADI,5,Senior Citizen,850,13,14,Express,56,No_Special_Consideration,No,0.0,1,11,2,244,0,0.08771929824561403,60.714285714285715,early
Sleeper,Ladies,JP,SC,2,Senior Citizen,923,19,26,Shatabdi,165,No_Special_Consideration,No,0.0,1,11,3,244,0,0.012048192771084338,46.15,early
3AC,Ladies,UMB,ADI,1,Child,97,17,40,Superfast,454,No_Special_Consideration,Yes,137.0,0,11,4,244,1,0.002197802197802198,5.388888888888889,early
3AC,General,LKO,NDLS,1,Senior Citizen,458,9,11,Express,219,No_Special_Consideration,No,0.0,1,11,5,244,0,0.004545454545454545,45.8,early
1AC,Premium Tatkal,UMB,JHS,5,Child,335,3,38,Rajdhani,283,No_Special_Consideration,No,0.0,1,11,6,244,0,0.017605633802816902,83.75,early
Sleeper,Tatkal,HWH,ADI,1,Child,356,3,33,Rajdhani,277,Defense Quota,No,0.0,1,11,0,244,0,0.0035971223021582736,89.0,early
2AC,General,KOAA,BSB,3,Child,351,10,38,Superfast,56,No_Special_Consideration,No,0.0,1,11,1,244,0,0.05263157894736842,31.90909090909091,early
2AC,Tatkal,JP,NDLS,1,Child,439,6,22,Superfast,307,Defense Quota,No,0.0,1,11,2,244,0,0.003246753246753247,62.714285714285715,early
Sleeper,Premium Tatkal,HWH,MMCT,1,Adult,1443,16,20,Shatabdi,483,Senior Citizen,No,0.0,1,11,3,244,0,0.002066115702479339,84.88235294117646,early
1AC,Tatkal,LTT,GKP,3,Senior Citizen,1185,5,11,Rajdhani,148,Defense Quota,No,101.0,0,11,4,244,0,0.020134228187919462,197.5,early
2AC,General,HWH,LTT,1,Adult,449,3,45,Express,262,Defense Quota,No,0.0,1,11,5,244,0,0.0038022813688212928,112.25,early
Sleeper,General,LKO,UMB,5,Child,1726,4,44,Rajdhani,170,Defense Quota,Yes,0.0,1,11,6,244,1,0.029239766081871343,345.2,early
Sleeper,General,CSMT,BCT,1,Adult,453,13,2,Superfast,333,Senior Citizen,No,0.0,1,11,0,244,0,0.0029940119760479044,32.357142857142854,early
2AC,Ladies,GKP,JHS,4,Adult,1753,12,25,Express,231,No_Special_Consideration,No,13.0,0,11,1,244,0,0.017241379310344827,134.84615384615384,early
1AC,General,GKP,CSMT,3,Child,517,13,44,Shatabdi,403,No_Special_Consideration,No,143.0,0,11,2,244,0,0.007425742574257425,36.92857142857143,early
2AC,Ladies,KOAA,HWH,5,Adult,1789,4,16,Rajdhani,147,No_Special_Consideration,Yes,0.0,1,11,3,244,1,0.033783783783783786,357.8,early
2AC,Ladies,ADI,LTT,5,Senior Citizen,952,19,42,Shatabdi,13,Defense Quota,No,0.0,1,11,4,244,0,0.35714285714285715,47.6,early
Sleeper,Tatkal,KOAA,MAS,3,Senior Citizen,1799,8,4,Shatabdi,227,Defense Quota,No,10.0,0,11,5,244,0,0.013157894736842105,199.88888888888889,early
2AC,General,LKO,JU,4,Senior Citizen,1563,9,45,Shatabdi,459,Senior Citizen,No,0.0,1,11,6,244,0,0.008695652173913044,156.3,early
Sleeper,Premium Tatkal,MMCT,HWH,1,Child,1441,10,47,Express,135,Defense Quota,Yes,52.0,0,11,0,244,1,0.007352941176470588,131.0,early
1AC,Tatkal,MAS,BBS,1,Adult,868,9,6,Rajdhani,72,Defense Quota,No,70.0,0,11,1,244,0,0.0136986301369863,86.8,early
3AC,Premium Tatkal,NJP,SBC,3,Child,600,12,15,Superfast,491,No_Special_Consideration,No,0.0,1,11,2,244,0,0.006097560975609756,46.15384615384615,early
3AC,General,JU,BCT,2,Senior Citizen,676,14,46,Shatabdi,311,No_Special_Consideration,Yes,42.0,0,11,3,244,1,0.00641025641025641,45.06666666666667,early
2AC,Tatkal,JP,BCT,4,Child,1525,18,29,Shatabdi,113,Defense Quota,No,191.0,0,11,4,244,0,0.03508771929824561,80.26315789473684,early
3AC,Premium Tatkal,CSMT,JU,3,Adult,877,7,36,Superfast,367,No_Special_Consideration,Yes,0.0,1,11,5,244,1,0.008152173913043478,109.625,early
2AC,Tatkal,SC,LKO,4,Child,375,9,40,Rajdhani,34,Defense Quota,Yes,24.0,0,11,6,244,1,0.11428571428571428,37.5,early
3AC,Ladies,GKP,JP,3,Adult,1805,5,35,Rajdhani,236,Senior Citizen,Yes,0.0,1,12,0,244,1,0.012658227848101266,300.8333333333333,early
Sleeper,Tatkal,PNBE,KOAA,5,Senior Citizen,1255,10,9,Shatabdi,150,Defense Quota,Yes,0.0,1,12,1,244,1,0.033112582781456956,114.0909090909091,early
Sleeper,Ladies,UMB,JP,1,Child,1830,2,10,Rajdhani,343,No_Special_Consideration,No,157.0,0,12,2,244,0,0.0029069767441860465,610.0,early
Sleeper,Premium Tatkal,BSB,MMCT,1,Adult,1084,14,12,Express,23,Defense Quota,Yes,0.0,1,12,3,244,1,0.041666666666666664,72.26666666666667,early
3AC,Tatkal,KOAA,BCT,4,Senior Citizen,759,9,43,Superfast,160,Senior Citizen,Yes,0.0,1,12,4,244,1,0.024844720496894408,75.9,early
Sleeper,Premium Tatkal,BSB,CNB,3,Adult,1977,13,31,Superfast,272,Senior Citizen,No,0.0,1,12,5,244,0,0.01098901098901099,141.21428571428572,early
3AC,Premium Tatkal,NDLS,JU,3,Senior Citizen,848,19,6,Shatabdi,392,Senior Citizen,No,0.0,1,12,6,244,0,0.007633587786259542,42.4,early
Sleeper,Premium Tatkal,GKP,SBC,3,Senior Citizen,729,6,46,Express,299,Defense Quota,Yes,199.0,0,12,0,244,1,0.01,104.14285714285714,early
1AC,General,ADI,PNBE,4,Child,1625,6,45,Express,382,Defense Quota,No,0.0,1,12,1,244,0,0.010443864229765013,232.14285714285714,early
1AC,General,SBC,HWH,5,Senior Citizen,1328,3,31,Rajdhani,238,No_Special_Consideration,Yes,134.0,0,12,2,244,1,0.02092050209205021,332.0,early
1AC,Premium Tatkal,SBC,BBS,4,Adult,1964,9,19,Express,195,No_Special_Consideration,Yes,0.0,1,12,3,244,1,0.02040816326530612,196.4,early
2AC,General,BSB,GKP,2,Child,955,14,2,Rajdhani,474,Senior Citizen,No,146.0,0,12,4,244,0,0.004210526315789474,63.666666666666664,early
3AC,General,SBC,KOAA,3,Adult,1819,7,17,Express,42,No_Special_Consideration,Yes,0.0,1,12,5,244,1,0.06976744186046512,227.375,early
Sleeper,Premium Tatkal,JP,KOAA,5,Adult,1658,15,13,Shatabdi,36,Defense Quota,No,133.0,0,12,6,244,0,0.13513513513513514,103.625,early
1AC,Premium Tatkal,MAS,JP,2,Child,1198,19,22,Express,123,Defense Quota,Yes,2.0,0,12,0,244,1,0.016129032258064516,59.9,early
3AC,General,BSB,BCT,3,Senior Citizen,229,9,36,Express,70,No_Special_Consideration,No,44.0,0,12,1,244,0,0.04225352112676056,22.9,early
2AC,Premium Tatkal,BBS,PNBE,4,Child,274,14,12,Superfast,254,Defense Quota,No,0.0,1,12,2,244,0,0.01568627450980392,18.266666666666666,early
Sleeper,General,JHS,JP,2,Adult,1112,2,45,Rajdhani,169,No_Special_Consideration,Yes,0.0,1,12,3,244,1,0.011764705882352941,370.6666666666667,early
3AC,Ladies,LKO,NDLS,1,Senior Citizen,235,9,26,Shatabdi,40,Senior Citizen,Yes,96.0,0,12,4,244,1,0.024390243902439025,23.5,early
Sleeper,Ladies,PNBE,MMCT,2,Senior Citizen,1189,2,7,Express,55,No_Special_Consideration,Yes,38.0,0,12,5,244,1,0.03571428571428571,396.3333333333333,early
2AC,General,JU,LKO,3,Senior Citizen,476,6,14,Superfast,209,No_Special_Consideration,Yes,54.0,0,12,6,244,1,0.014285714285714285,68.0,early
3AC,General,LKO,HWH,2,Senior Citizen,884,6,42,Shatabdi,86,Defense Quota,No,0.0,1,12,0,244,0,0.022988505747126436,126.28571428571429,early
2AC,Ladies,CSMT,ASR,5,Senior Citizen,728,6,36,Superfast,483,Defense Quota,No,0.0,1,12,1,244,0,0.010330578512396695,104.0,early
2AC,Premium Tatkal,JHS,JU,4,Child,1371,5,45,Superfast,368,Senior Citizen,No,79.0,0,12,2,244,0,0.01084010840108401,228.5,early
1AC,Premium Tatkal,NDLS,ASR,2,Child,1289,6,10,Express,91,No_Special_Consideration,Yes,0.0,1,12,3,244,1,0.021739130434782608,184.14285714285714,early
1AC,General,GKP,ADI,3,Adult,963,15,21,Superfast,218,Defense Quota,Yes,0.0,1,12,4,244,1,0.0136986301369863,60.1875,early
Sleeper,Ladies,LTT,JP,4,Senior Citizen,1530,8,2,Rajdhani,370,Defense Quota,Yes,0.0,1,12,5,244,1,0.01078167115902965,170.0,early
1AC,Ladies,JHS,CNB,5,Adult,1471,7,36,Superfast,227,Senior Citizen,No,0.0,1,12,6,244,0,0.021929824561403508,183.875,early
2AC,Ladies,HWH,JP,4,Adult,678,5,18,Rajdhani,447,Senior Citizen,No,0.0,1,12,0,244,0,0.008928571428571428,113.0,early
2AC,Ladies,JU,PNBE,2,Adult,1593,11,44,Superfast,224,No_Special_Consideration,No,105.0,0,12,1,244,0,0.008888888888888889,132.75,early
3AC,Premium Tatkal,LTT,LKO,5,Senior Citizen,313,4,4,Shatabdi,309,Defense Quota,Yes,144.0,0,12,2,244,1,0.016129032258064516,62.6,early
3AC,Tatkal,ASR,NDLS,1,Child,920,18,47,Rajdhani,482,No_Special_Consideration,No,0.0,1,1,3,244,0,0.002070393374741201,48.421052631578945,early
Sleeper,Premium Tatkal,ADI,CSMT,2,Adult,1102,5,9,Shatabdi,324,No_Special_Consideration,Yes,0.0,1,1,4,244,1,0.006153846153846154,183.66666666666666,early
3AC,Premium Tatkal,SBC,ADI,4,Senior Citizen,659,18,9,Shatabdi,312,No_Special_Consideration,No,0.0,1,1,5,244,0,0.012779552715654952,34.68421052631579,early
Sleeper,General,CSMT,SBC,1,Adult,1501,19,22,Express,481,No_Special_Consideration,Yes,0.0,1,1,6,244,1,0.002074688796680498,75.05,early
1AC,General,BCT,GKP,3,Child,1913,3,27,Shatabdi,69,No_Special_Consideration,No,0.0,1,1,0,244,0,0.04285714285714286,478.25,early
3AC,General,SBC,MAS,4,Adult,1167,19,9,Express,64,No_Special_Consideration,Yes,0.0,1,1,1,244,1,0.06153846153846154,58.35,early
Sleeper,Ladies,LKO,ADI,5,Adult,1772,8,12,Superfast,246,Defense Quota,Yes,97.0,0,1,2,244,1,0.020242914979757085,196.88888888888889,early
Sleeper,Premium Tatkal,GKP,CNB,2,Adult,1863,3,47,Rajdhani,461,Senior Citizen,Yes,0.0,1,1,3,244,1,0.004329004329004329,465.75,early
2AC,General,LTT,MAS,2,Senior Citizen,193,4,32,Rajdhani,38,Defense Quota,Yes,0.0,1,1,4,244,1,0.05128205128205128,38.6,early
3AC,General,HWH,SBC,3,Child,1359,7,46,Rajdhani,399,No_Special_Consideration,Yes,136.0,0,1,5,244,1,0.0075,169.875,early
3AC,General,GKP,MMCT,3,Child,476,17,26,Shatabdi,257,No_Special_Consideration,Yes,184.0,0,1,6,244,1,0.011627906976744186,26.444444444444443,early
1AC,Premium Tatkal,LTT,SC,4,Adult,1813,9,30,Rajdhani,197,Senior Citizen,No,23.0,0,1,0,244,0,0.020202020202020204,181.3,early
2AC,Tatkal,BSB,HWH,1,Child,753,18,32,Shatabdi,145,Defense Quota,No,191.0,0,1,1,244,0,0.00684931506849315,39.63157894736842,early
1AC,General,BBS,CSMT,4,Adult,350,10,6,Express,221,No_Special_Consideration,Yes,137.0,0,1,2,244,1,0.018018018018018018,31.818181818181817,early
2AC,Tatkal,BBS,MAS,2,Senior Citizen,542,3,5,Express,21,Defense Quota,No,0.0,1,1,3,244,0,0.09090909090909091,135.5,early
Sleeper,Tatkal,ADI,KOAA,1,Adult,1333,12,3,Superfast,125,Defense Quota,Yes,0.0,1,1,4,244,1,0.007936507936507936,102.53846153846153,early
Sleeper,General,NJP,MAS,5,Adult,277,14,39,Rajdhani,71,No_Special_Consideration,No,0.0,1,1,5,244,0,0.06944444444444445,18.466666666666665,early
3AC,Tatkal,BBS,SC,2,Senior Citizen,840,13,2,Superfast,317,No_Special_Consideration,Yes,36.0,0,1,6,244,1,0.006289308176100629,60.0,early
3AC,Premium Tatkal,CSMT,BBS,4,Adult,1682,4,25,Superfast,486,No_Special_Consideration,No,148.0,0,1,0,244,0,0.008213552361396304,336.4,early
1AC,Ladies,UMB,BSB,4,Senior Citizen,1585,15,11,Shatabdi,397,Defense Quota,Yes,0.0,1,1,1,244,1,0.010050251256281407,99.0625,early
3AC,Ladies,LKO,MAS,4,Adult,168,9,47,Express,254,Senior Citizen,No,0.0,1,1,2,244,0,0.01568627450980392,16.8,early
2AC,Ladies,GKP,LTT,4,Senior Citizen,419,12,16,Shatabdi,248,Defense Quota,Yes,0.0,1,1,3,244,1,0.01606425702811245,32.23076923076923,early
Sleeper,Tatkal,JHS,ADI,3,Adult,927,4,29,Express,110,Senior Citizen,No,0.0,1,1,4,244,0,0.02702702702702703,185.4,early
3AC,General,NDLS,HWH,2,Adult,1423,3,19,Superfast,316,Senior Citizen,Yes,110.0,0,1,5,244,1,0.006309148264984227,355.75,early
1AC,Tatkal,MAS,NJP,4,Senior Citizen,372,7,35,Superfast,404,Defense Quota,No,0.0,1,1,6,244,0,0.009876543209876543,46.5,early
1AC,General,BCT,NDLS,4,Senior Citizen,1785,17,28,Shatabdi,106,Senior Citizen,No,0.0,1,1,0,244,0,0.037383177570093455,99.16666666666667,early
1AC,Ladies,SC,BCT,4,Child,1388,4,31,Superfast,159,No_Special_Consideration,No,0.0,1,1,1,244,0,0.025,277.6,early
Sleeper,Premium Tatkal,JP,SBC,2,Adult,1289,15,20,Rajdhani,13,Senior Citizen,No,0.0,1,1,2,244,0,0.14285714285714285,80.5625,early
Sleeper,General,HWH,BCT,4,Adult,73,10,12,Shatabdi,435,Senior Citizen,Yes,136.0,0,1,3,244,1,0.009174311926605505,6.636363636363637,early
1AC,Ladies,JP,JP,3,Adult,1870,9,35,Express,472,Defense Quota,Yes,0.0,1,1,4,244,1,0.006342494714587738,187.0,early
1AC,Ladies,BSB,CSMT,1,Senior Citizen,83,7,36,Express,406,Senior Citizen,No,0.0,1,1,5,244,0,0.002457002457002457,10.375,early
1AC,Ladies,NDLS,JHS,2,Senior Citizen,553,14,29,Shatabdi,419,Senior Citizen,No,0.0,1,2,6,244,0,0.004761904761904762,36.86666666666667,early
Sleeper,Premium Tatkal,NDLS,LTT,2,Child,1346,11,25,Shatabdi,230,Defense Quota,No,0.0,1,2,0,244,0,0.008658008658008658,112.16666666666667,early
Sleeper,General,JU,JP,3,Adult,1994,19,29,Express,162,No_Special_Consideration,Yes,176.0,0,2,1,244,1,0.018404907975460124,99.7,early
2AC,Ladies,SBC,CSMT,5,Adult,1376,9,47,Express,137,Defense Quota,Yes,0.0,1,2,2,244,1,0.036231884057971016,137.6,early
3AC,Ladies,JHS,CNB,1,Adult,315,15,13,Shatabdi,36,No_Special_Consideration,Yes,0.0,1,2,3,244,1,0.02702702702702703,19.6875,early
1AC,Ladies,HWH,NDLS,1,Senior Citizen,320,14,19,Superfast,465,Defense Quota,No,0.0,1,2,4,244,0,0.002145922746781116,21.333333333333332,early
1AC,Ladies,PNBE,JP,5,Adult,1466,8,34,Shatabdi,473,Defense Quota,Yes,57.0,0,2,5,244,1,0.010548523206751054,162.88888888888889,early
1AC,General,JHS,NJP,1,Adult,1059,15,38,Rajdhani,224,Senior Citizen,No,0.0,1,2,6,244,0,0.0044444444444444444,66.1875,early
2AC,Ladies,PNBE,LTT,2,Child,331,17,11,Shatabdi,301,Defense Quota,Yes,0.0,1,2,0,244,1,0.006622516556291391,18.38888888888889,early
2AC,Ladies,CSMT,BCT,3,Adult,1277,4,39,Rajdhani,25,Defense Quota,Yes,0.0,1,2,1,244,1,0.11538461538461539,255.4,early
Sleeper,Ladies,ASR,ASR,5,Senior Citizen,1491,6,7,Superfast,434,Senior Citizen,No,0.0,1,2,2,244,0,0.011494252873563218,213.0,early
2AC,Ladies,JHS,ADI,4,Senior Citizen,1636,9,37,Rajdhani,375,Senior Citizen,Yes,3.0,0,2,3,244,1,0.010638297872340425,163.6,early
2AC,Premium Tatkal,HWH,LTT,2,Adult,1315,10,26,Superfast,50,Defense Quota,Yes,0.0,1,2,4,244,1,0.0392156862745098,119.54545454545455,early
3AC,General,BSB,MMCT,5,Senior Citizen,1223,18,14,Express,58,No_Special_Consideration,Yes,0.0,1,2,5,244,1,0.0847457627118644,64.36842105263158,early
1AC,Tatkal,NDLS,BBS,4,Child,1593,9,18,Express,474,No_Special_Consideration,No,0.0,1,2,6,244,0,0.008421052631578947,159.3,early
3AC,Tatkal,JU,LTT,5,Adult,1362,6,27,Rajdhani,173,Defense Quota,No,0.0,1,2,0,244,0,0.028735632183908046,194.57142857142858,early
3AC,Ladies,BBS,BBS,1,Child,445,7,12,Shatabdi,232,No_Special_Consideration,No,63.0,0,2,1,244,0,0.004291845493562232,55.625,early
1AC,Ladies,NDLS,ASR,1,Adult,1851,16,30,Shatabdi,84,Defense Quota,Yes,0.0,1,2,2,244,1,0.011764705882352941,108.88235294117646,early
1AC,Premium Tatkal,ASR,ASR,1,Child,1201,2,20,Superfast,102,Defense Quota,No,38.0,0,2,3,244,0,0.009708737864077669,400.3333333333333,early
